number;link;title;date
117;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 117 - O_Contact [Feb. 18, 2019].mp3;O'Contact;Feb. 26, 2019
118;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 118 - The Lazarus Cast [Feb. 26, 2019].mp3;The Lazarus Cast;Mar. 4, 2019
119;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 119 - Stone Cold_s Bastard [Mar. 4, 2019].mp3;Stone Cold's Bastard;Mar. 7, 2019
120;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 120 - H.E.D.D. [Mar. 7, 2019].mp3;H.E.D.D.;Mar. 19, 2019
121;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 121 - Wolf Stats [Mar. 19, 2019].mp3;Wolf Stats;Mar. 26, 2019
122;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 122 - Saudi Chicken Prince [Mar. 26, 2019].mp3;Saudi Chicken Prince;Apr. 1, 2019
123;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 123 - B.I.G. S.I.S.T.E.R. [Apr. 1, 2019].mp3;B.I.G. S.I.S.T.E.R.;Apr. 10, 2019
124;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 124 - G-Pass [Apr. 10, 2019].mp3;G-Pass;Apr. 16, 2019
125;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 125 - Who Had _Em [Apr. 16, 2019].mp3;Who Had 'Em;Apr. 22, 2019
126;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 126 - SWAPCAST W Ya F#cked It [Apr. 22, 2019].mp3;SWAPCAST W Ya F#cked It;May 1, 2019
127;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 127 - Vision of Love [May 1, 2019].mp3;Vision of Love;May 8, 2019
128;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 128 - R.I.P. Orlando Bloom [May 8, 2019].mp3;R.I.P. Orlando Bloom;May 14, 2019
129;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 129 - A New Fool [May 14, 2019].mp3;A New Fool;May 21, 2019
130;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 130 - Double Donger [May 21, 2019].mp3;Double Donger;May 29, 2019
131;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 131 - The Poors [May 29, 2019].mp3;The Poors;Jun. 4, 2019
132;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 132 - Gerbies In Space [Jun. 4, 2019].mp3;Gerbies In Space;Jun. 11, 2019
133;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 133 - STUCK [Jun. 11, 2019].mp3;STUCK;Jun. 17, 2019
134;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 134 - Canadian Parade [Jun. 17, 2019].mp3;Canadian Parade;Jun. 26, 2019
135;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 135 - Can_t Cuck This [Jun. 26, 2019].mp3;Can't Cuck This;Jul. 2, 2019
136;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 136 - Live @ The Stand w Nick Mullen [Jul. 2, 2019].mp3;Live @ The Stand w Nick Mullen;Jul. 8, 2019
137;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 137 - The War Room [Jul. 8, 2019].mp3;The War Room;Jul. 17, 2019
138;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 138 - Geezer League [Jul. 17, 2019].mp3;Geezer League;Jul. 22, 2019
139;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 139 - The Grid of Interaction [Jul. 22, 2019].mp3;The Grid of Interaction;Jul. 31, 2019
140;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 140 - Within the Walls of the Kremlin [Jul. 31, 2019].mp3;Within the Walls of the Kremlin;Aug. 5, 2019
141;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 141 - Awash in Propagander [Aug. 5, 2019].mp3;Awash in Propagander;Aug. 15, 2019
142;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 142 - War Room II-Pt 1 [Aug. 15, 2019].mp3;War Room II-Pt 1;Aug. 22, 2019
143;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 143 - Everything is Fcking Asshoe!!! [Aug. 22, 2019].mp3;Everything is Fcking Asshoe!!!;Aug. 26, 2019
144;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 144 - A.I. is Racist [Aug. 26, 2019].mp3;A.I. is Racist;Sep. 3, 2019
146;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 146 - Live from Shane_s Parent_s Basement [Sep. 3, 2019].mp3;Live from Shane's Parent's Basement;Sep. 8, 2019
147;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 147 - Ephemerality [Sep. 8, 2019].mp3;Ephemerality;Sep. 11, 2020
